股票编号,日期,开盘价,收盘价,最高价,最低价
600150.XSHG,2019-01-02,13.06,13.19,13.46,13.06
600150.XSHG,2019-01-03,13.25,13.21,13.47,13.14
600150.XSHG,2019-01-04,13.16,13.36,13.43,13.07
600150.XSHG,2019-01-07,13.39,13.77,13.87,13.39
600150.XSHG,2019-01-08,13.74,13.64,13.76,13.55
600150.XSHG,2019-01-09,13.57,13.62,14,13.57
600150.XSHG,2019-01-10,13.66,13.52,13.81,13.38
600150.XSHG,2019-01-11,13.58,13.67,13.74,13.49
600150.XSHG,2019-01-14,13.65,13.8,13.97,13.64
600150.XSHG,2019-01-15,13.82,14.12,14.17,13.74
600150.XSHG,2019-01-16,14.12,14.11,14.24,13.96
600150.XSHG,2019-01-17,14.11,14.02,14.16,13.97
600150.XSHG,2019-01-18,14.01,14.15,14.27,13.99
600150.XSHG,2019-01-21,14,13.45,14.04,13.45
600150.XSHG,2019-01-22,12.81,13,13.15,12.78
600150.XSHG,2019-01-23,12.93,13.25,13.41,12.91
600150.XSHG,2019-01-24,13.24,13.15,13.33,13.1
600150.XSHG,2019-01-25,13.15,13.23,13.3,13.11
600150.XSHG,2019-01-28,13.43,13.18,13.43,13.18
600150.XSHG,2019-01-29,13.17,12.71,13.26,12.52
600150.XSHG,2019-01-30,12.79,12.71,12.97,12.66
600150.XSHG,2019-01-31,12.83,12.32,12.83,12.31
600150.XSHG,2019-02-01,12.32,12.79,12.81,12.32
600150.XSHG,2019-02-11,12.88,13.2,13.22,12.82
600150.XSHG,2019-02-12,13.23,13.35,13.5,13.21
600150.XSHG,2019-02-13,13.41,13.41,13.47,13.25
600150.XSHG,2019-02-14,13.21,13.1,13.35,13.06
600150.XSHG,2019-02-15,13.01,12.93,13.07,12.8
600150.XSHG,2019-02-18,12.92,13.18,13.19,12.91
600150.XSHG,2019-02-19,13.18,13.46,13.49,13.09
600150.XSHG,2019-02-20,13.46,13.59,13.92,13.25
600150.XSHG,2019-02-21,13.66,13.45,13.85,13.35
600150.XSHG,2019-02-22,13.4,13.66,13.66,13.38
600150.XSHG,2019-02-25,13.77,14.2,14.3,13.64
600150.XSHG,2019-02-26,14.27,14.32,14.65,14.02
600150.XSHG,2019-02-27,14.42,14.71,15,14.35
600150.XSHG,2019-02-28,14.87,14.77,14.88,14.57
600150.XSHG,2019-03-01,15,15.5,15.5,14.85
600150.XSHG,2019-03-04,15.77,15.8,16.1,15.41
600150.XSHG,2019-03-05,15.73,16.59,16.59,15.62
600150.XSHG,2019-03-06,16.64,17.26,17.36,16.64
600150.XSHG,2019-03-07,17.36,16.77,17.36,16.72
600150.XSHG,2019-03-08,16.32,16.09,17.05,15.97
600150.XSHG,2019-03-11,16.36,16.77,16.86,16.34
600150.XSHG,2019-03-12,17.16,17.04,17.5,16.8
600150.XSHG,2019-03-13,17.06,17.48,17.74,16.77
600150.XSHG,2019-03-14,17.43,17.54,18.24,17.3
600150.XSHG,2019-03-15,17.6,17.9,18.05,17.43
600150.XSHG,2019-03-18,18.28,18.8,18.8,18.28
600150.XSHG,2019-03-19,19.47,19.05,19.74,18.8
600150.XSHG,2019-03-20,19.09,18.21,19.22,18.1
600150.XSHG,2019-03-21,18.6,18.53,18.83,18.28
600150.XSHG,2019-03-22,18.75,19.45,19.45,18.41
600150.XSHG,2019-03-25,19.64,20.43,20.43,19.56
600150.XSHG,2019-03-26,21.45,19.75,21.45,19.4
600150.XSHG,2019-03-27,19.89,20.19,20.44,19.04
600150.XSHG,2019-03-28,20.19,20.19,20.19,20.19
600150.XSHG,2019-03-29,20.19,20.19,20.19,20.19
600150.XSHG,2019-04-01,20.19,20.19,20.19,20.19
600150.XSHG,2019-04-02,20.19,20.19,20.19,20.19
600150.XSHG,2019-04-03,20.19,20.19,20.19,20.19
600150.XSHG,2019-04-04,20.19,20.19,20.19,20.19
600150.XSHG,2019-04-08,22.21,22.21,22.21,22.21
600150.XSHG,2019-04-09,24.43,24.43,24.43,24.43
600150.XSHG,2019-04-10,26.87,26.87,26.87,26.87
600150.XSHG,2019-04-11,29.56,29.56,29.56,29.56
600150.XSHG,2019-04-12,30.83,26.72,31.23,26.65
600150.XSHG,2019-04-15,26.4,26.8,28.33,25.74
600150.XSHG,2019-04-16,26.81,26.01,27.08,25.04
600150.XSHG,2019-04-17,25.95,26.74,27.18,25.81
600150.XSHG,2019-04-18,26.78,29.42,29.42,26.26
600150.XSHG,2019-04-19,29.42,31.29,31.43,28.29
600150.XSHG,2019-04-22,30.93,29.74,31.12,29.64
600150.XSHG,2019-04-23,29.74,26.76,29.74,26.76
600150.XSHG,2019-04-24,26.06,25.32,26.51,24.71
600150.XSHG,2019-04-25,25.01,25.01,25.96,24.6
600150.XSHG,2019-04-26,24.56,23.68,24.86,23.62
600150.XSHG,2019-04-29,23.32,22.87,24.4,22.62
600150.XSHG,2019-04-30,22.87,23.2,23.95,22.65
600150.XSHG,2019-05-06,21.93,20.88,22.1,20.88
600150.XSHG,2019-05-07,20.64,20.86,21.38,19.89
600150.XSHG,2019-05-08,20.14,21.18,21.68,19.59
600150.XSHG,2019-05-09,20.72,20.44,21.48,20.32
600150.XSHG,2019-05-10,20.92,21.4,21.56,19.57
600150.XSHG,2019-05-13,20.88,20.61,21.38,20.49
600150.XSHG,2019-05-14,20.1,20.57,21.05,20.1
600150.XSHG,2019-05-15,20.64,20.97,21.02,20.59
600150.XSHG,2019-05-16,20.99,21.15,21.68,20.75
600150.XSHG,2019-05-17,21,19.91,21.1,19.79
600150.XSHG,2019-05-20,19.81,19.93,20.17,19.14
600150.XSHG,2019-05-21,19.76,20.25,20.72,19.75
600150.XSHG,2019-05-22,20.37,20.15,20.41,19.6
600150.XSHG,2019-05-23,20.38,19.97,20.75,19.93
600150.XSHG,2019-05-24,19.7,19.52,19.89,19.18
600150.XSHG,2019-05-27,19.62,20.06,20.15,19.41
600150.XSHG,2019-05-28,20.05,20.04,20.31,19.8
600150.XSHG,2019-05-29,19.97,19.93,20.19,19.84
600150.XSHG,2019-05-30,19.94,19.49,19.97,19.37
600150.XSHG,2019-05-31,19.67,19.51,19.84,19.45
600150.XSHG,2019-06-03,19.81,19.3,20,19.29
600150.XSHG,2019-06-04,19.24,17.9,19.26,17.55
600150.XSHG,2019-06-05,18.06,17.69,18.17,17.6
600150.XSHG,2019-06-06,17.9,17.15,17.95,17.03
600150.XSHG,2019-06-10,17.38,17.23,17.45,17.03
600150.XSHG,2019-06-11,17.22,18.58,18.58,17.22
600150.XSHG,2019-06-12,18.5,18.44,18.98,18.37
600150.XSHG,2019-06-13,18.43,18.38,18.57,18.17
600150.XSHG,2019-06-14,18.46,19.84,20.22,18.46
600150.XSHG,2019-06-17,19.2,19.39,19.64,18.9
600150.XSHG,2019-06-18,19.29,19,19.3,18.92
600150.XSHG,2019-06-19,19.5,19.21,19.62,19.12
600150.XSHG,2019-06-20,19.19,19.98,20.18,18.9
600150.XSHG,2019-06-21,19.92,20.85,20.97,19.75
600150.XSHG,2019-06-24,20.7,20.52,20.97,20.41
600150.XSHG,2019-06-25,20.43,21,21.44,20.2
600150.XSHG,2019-06-26,20.95,23.1,23.1,20.62
600150.XSHG,2019-06-27,23.3,23.2,24.94,22.55
600150.XSHG,2019-06-28,23.15,23.6,23.97,22.58
600150.XSHG,2019-07-01,24,24,24.98,23.65
600150.XSHG,2019-07-02,26.4,25.89,26.4,25.01
600150.XSHG,2019-07-03,25.82,27.74,28.27,24.71
600150.XSHG,2019-07-04,27.32,26.86,29.55,26.26
600150.XSHG,2019-07-05,26.31,25.19,26.84,25.1
600150.XSHG,2019-07-08,25,24.76,25.42,23.08
600150.XSHG,2019-07-09,24.03,24.09,24.94,23.91
600150.XSHG,2019-07-10,24.28,23.76,24.66,23.66
600150.XSHG,2019-07-11,24.1,23.66,24.35,23.33
600150.XSHG,2019-07-12,23.34,23.25,23.69,23
600150.XSHG,2019-07-15,23.23,25.1,25.36,23.23
600150.XSHG,2019-07-16,24.82,24.91,25.54,24.61
600150.XSHG,2019-07-17,25.43,25.13,25.86,24.96
600150.XSHG,2019-07-18,24.65,24.46,25.15,24.2
600150.XSHG,2019-07-19,24.47,24.38,24.86,24.3
600150.XSHG,2019-07-22,24.24,22.85,24.29,22.81
600150.XSHG,2019-07-23,22.88,23.2,23.47,22.81
600150.XSHG,2019-07-24,23.5,23.7,24.2,23.46
600150.XSHG,2019-07-25,23.8,23.74,24.05,23.45
600150.XSHG,2019-07-26,23.6,24.09,24.1,23.46
600150.XSHG,2019-07-29,24.22,24.75,24.86,24.22
600150.XSHG,2019-07-30,24.77,24.56,24.96,24.51
600150.XSHG,2019-07-31,24.55,25.07,25.1,24.03
600150.XSHG,2019-08-01,24.6,24.23,25.04,24.17
600150.XSHG,2019-08-02,23.4,23.27,23.7,22.92
600150.XSHG,2019-08-05,23.01,22.98,23.68,22.9
600150.XSHG,2019-08-06,22,22.17,22.78,21.05
600150.XSHG,2019-08-07,22.34,21.79,22.48,21.73
600150.XSHG,2019-08-08,21.79,21.79,21.79,21.79
600150.XSHG,2019-08-09,21.79,21.79,21.79,21.79
600150.XSHG,2019-08-12,21.79,21.79,21.79,21.79
600150.XSHG,2019-08-13,21.79,21.79,21.79,21.79
600150.XSHG,2019-08-14,21.79,21.79,21.79,21.79
600150.XSHG,2019-08-15,23.97,23.97,23.97,23.5
600150.XSHG,2019-08-16,25,23.66,25.54,23.58
600150.XSHG,2019-08-19,23.64,23.81,23.97,23.3
600150.XSHG,2019-08-20,23.68,24.18,24.5,23.45
600150.XSHG,2019-08-21,23.96,23.77,24.17,23.72
600150.XSHG,2019-08-22,23.77,23.8,24.18,23.71
600150.XSHG,2019-08-23,23.5,22.98,23.62,22.81
600150.XSHG,2019-08-26,22,22.59,23.02,21.9
600150.XSHG,2019-08-27,22.65,22.82,23.13,22.65
600150.XSHG,2019-08-28,23,23.01,23.6,22.8
600150.XSHG,2019-08-29,22.94,22.97,23.33,22.85
600150.XSHG,2019-08-30,23.15,24.32,24.78,22.98
600150.XSHG,2019-09-02,24.1,24.71,25.49,24.02
600150.XSHG,2019-09-03,24.71,24.85,25.2,24.27
600150.XSHG,2019-09-04,24.61,24.37,24.8,24.08
600150.XSHG,2019-09-05,24.71,24.9,25.4,24.45
600150.XSHG,2019-09-06,24.9,24.51,25.04,24.47
600150.XSHG,2019-09-09,24.91,24.81,24.91,24.51
600150.XSHG,2019-09-10,24.94,25.04,25.55,24.77
600150.XSHG,2019-09-11,24.99,24.45,24.99,24.43
600150.XSHG,2019-09-12,24.46,24.5,24.64,24.14
600150.XSHG,2019-09-16,24.61,24.34,24.68,24.21
600150.XSHG,2019-09-17,24.75,24.73,25.38,24.61
600150.XSHG,2019-09-18,24.75,24.23,24.77,24.11
600150.XSHG,2019-09-19,24.24,24.4,24.44,23.86
600150.XSHG,2019-09-20,24.4,24.87,25.15,24.1
600150.XSHG,2019-09-23,24.7,25.2,25.33,24.58
600150.XSHG,2019-09-24,25.33,24.76,25.33,24.75
600150.XSHG,2019-09-25,24.7,24.37,25.24,24.32
600150.XSHG,2019-09-26,24.05,22.24,24.07,22.01
600150.XSHG,2019-09-27,22.18,22.19,22.53,21.9
600150.XSHG,2019-09-30,22.19,22.01,22.72,21.92
600150.XSHG,2019-10-08,22,21.46,22.15,21.35
600150.XSHG,2019-10-09,21.37,21.49,21.58,21.01
600150.XSHG,2019-10-10,21.55,21.82,21.99,21.48
600150.XSHG,2019-10-11,21.88,21.55,22.05,21.39
600150.XSHG,2019-10-14,21.78,22.36,22.59,21.7
600150.XSHG,2019-10-15,22.42,22.02,22.5,21.96
600150.XSHG,2019-10-16,21.95,21.63,22.19,21.56
600150.XSHG,2019-10-17,21.63,21.45,21.95,21.4
600150.XSHG,2019-10-18,21.45,21.06,21.66,20.78
600150.XSHG,2019-10-21,21.08,21.25,21.55,20.42
600150.XSHG,2019-10-22,21.24,21.18,21.37,21.01
600150.XSHG,2019-10-23,21.25,20.93,21.33,20.89
600150.XSHG,2019-10-24,21.01,22.15,22.33,20.78
600150.XSHG,2019-10-25,22.58,22.16,22.68,21.88
600150.XSHG,2019-10-28,22.9,22.32,22.98,22.08
600150.XSHG,2019-10-29,22.33,21.4,22.34,21.4
600150.XSHG,2019-10-30,21.42,20.99,21.69,20.51
600150.XSHG,2019-10-31,21,20.44,21.15,20.43
600150.XSHG,2019-11-01,20.3,20.52,20.58,19.92
600150.XSHG,2019-11-04,20.52,20.47,20.63,20.3
600150.XSHG,2019-11-05,20.47,20.7,20.94,20.39
600150.XSHG,2019-11-06,20.73,21.05,21.67,20.73
600150.XSHG,2019-11-07,20.8,20.65,20.97,20.61
600150.XSHG,2019-11-08,21,20.81,21,20.54
600150.XSHG,2019-11-11,20.62,20.16,20.62,20.04
600150.XSHG,2019-11-12,20.02,20.24,20.39,20.02
600150.XSHG,2019-11-13,20.24,19.79,20.3,19.71
600150.XSHG,2019-11-14,19.88,19.87,20.02,19.73
600150.XSHG,2019-11-15,19.75,20.07,20.18,19.41
600150.XSHG,2019-11-18,20.06,19.83,20.06,19.55
600150.XSHG,2019-11-19,19.8,19.99,20.04,19.7
600150.XSHG,2019-11-20,19.92,19.78,20.09,19.64
600150.XSHG,2019-11-21,19.8,20.15,20.57,19.8
600150.XSHG,2019-11-22,19.62,19.74,20.13,19.35
600150.XSHG,2019-11-25,19.65,19.55,19.66,19.34
600150.XSHG,2019-11-26,19.98,20.34,21,19.97
600150.XSHG,2019-11-27,20.86,20.34,20.95,20.27
600150.XSHG,2019-11-28,20.14,20.3,20.3,20.05
600150.XSHG,2019-11-29,20.42,20.13,20.42,20.01
600150.XSHG,2019-12-02,20.05,19.87,20.18,19.81
600150.XSHG,2019-12-03,19.95,19.96,20,19.65
600150.XSHG,2019-12-04,19.79,20.14,20.14,19.7
600150.XSHG,2019-12-05,20.19,20.22,20.27,20.06
600150.XSHG,2019-12-06,20.22,20.69,20.81,20.15
600150.XSHG,2019-12-09,20.78,20.63,20.78,20.45
600150.XSHG,2019-12-10,20.55,20.69,20.78,20.42
600150.XSHG,2019-12-11,20.66,21.06,21.18,20.61
600150.XSHG,2019-12-12,21,21.7,21.87,20.87
600150.XSHG,2019-12-13,21.66,21.76,21.97,21.51
600150.XSHG,2019-12-16,21.96,22.8,22.84,21.84
600150.XSHG,2019-12-17,22.9,22.68,23.25,22.35
600150.XSHG,2019-12-18,23.24,22.35,23.33,22.31
600150.XSHG,2019-12-19,22.2,21.82,22.27,21.78
600150.XSHG,2019-12-20,21.8,21.55,21.92,21.5
600150.XSHG,2019-12-23,21.51,21.27,21.83,21.25
600150.XSHG,2019-12-24,21.3,21.65,21.77,21.3
600150.XSHG,2019-12-25,21.81,21.83,21.97,21.61
600150.XSHG,2019-12-26,21.85,21.71,21.95,21.6
600150.XSHG,2019-12-27,21.7,21.42,21.86,21.41
600150.XSHG,2019-12-30,21.41,21.39,21.59,20.81
600150.XSHG,2019-12-31,21.45,21.76,21.82,21.31
600900.XSHG,2019-01-02,14.66,14.31,14.67,14.03
600900.XSHG,2019-01-03,14.19,14.45,14.45,14.17
600900.XSHG,2019-01-04,14.43,14.22,14.43,14.07
600900.XSHG,2019-01-07,14.29,14.15,14.32,14.07
600900.XSHG,2019-01-08,14.11,14.44,14.49,14.11
600900.XSHG,2019-01-09,14.53,14.37,14.61,14.36
600900.XSHG,2019-01-10,14.31,14.23,14.42,14.15
600900.XSHG,2019-01-11,14.23,14.29,14.31,14.13
600900.XSHG,2019-01-14,14.25,14.17,14.31,14.1
600900.XSHG,2019-01-15,14.18,14.29,14.29,14.13
600900.XSHG,2019-01-16,14.3,14.41,14.45,14.23
600900.XSHG,2019-01-17,14.44,14.34,14.44,14.29
600900.XSHG,2019-01-18,14.44,14.62,14.66,14.39
600900.XSHG,2019-01-21,14.57,14.68,14.69,14.57
600900.XSHG,2019-01-22,14.71,14.67,14.75,14.62
600900.XSHG,2019-01-23,14.67,14.81,14.82,14.65
600900.XSHG,2019-01-24,14.82,14.8,14.88,14.68
600900.XSHG,2019-01-25,14.85,14.77,14.91,14.76
600900.XSHG,2019-01-28,14.81,14.77,14.92,14.66
600900.XSHG,2019-01-29,14.73,15.04,15.12,14.7
600900.XSHG,2019-01-30,15.12,15.03,15.12,14.93
600900.XSHG,2019-01-31,15.15,15.25,15.25,15.06
600900.XSHG,2019-02-01,15.29,15.18,15.32,15.13
600900.XSHG,2019-02-11,15.05,15.14,15.24,15.05
